City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Upernavik,72.79,-56.15,34.5,87,0,7.47,GL,1592439186
Hermanus,-34.42,19.23,48.99,84,21,1.01,ZA,1592439186
Punta Arenas,-53.15,-70.92,28.4,92,0,5.57,CL,1592438936
Ahipara,-35.17,173.17,60.96,80,63,8.7,NZ,1592439187
Trairi,-3.28,-39.27,75.61,90,13,8.43,BR,1592439187
Saint Paul Harbor,57.79,-152.41,51.8,87,90,16.11,US,1592439187
Hong Kong,22.29,114.16,87.01,70,8,10.0,HK,1592438900
Vaini,-21.2,-175.2,77.0,65,20,13.87,TO,1592439188
Montluçon,46.33,2.6,53.01,94,19,7.65,FR,1592439188
Taihe,30.87,105.38,73.62,84,97,4.76,CN,1592439188
Chokurdakh,70.63,147.92,81.32,27,8,10.69,RU,1592439188
Sylva,58.03,56.76,39.2,93,5,4.47,RU,1592439189
Jamestown,42.1,-79.24,78.8,41,1,11.41,US,1592439189
George Town,5.41,100.34,78.8,88,20,8.72,MY,1592439189
Saint-Philippe,-21.36,55.77,68.0,82,40,13.87,RE,1592439190
Busselton,-33.65,115.33,51.01,76,44,17.85,AU,1592439093
Puerto del Rosario,28.5,-13.86,73.4,78,40,9.17,ES,1592439190
Bluff,-46.6,168.33,39.0,83,27,3.0,NZ,1592439190
Dikson,73.51,80.55,33.62,89,92,4.63,RU,1592439190
Port Alfred,-33.59,26.89,51.01,87,0,12.35,ZA,1592439191
Rikitea,-23.12,-134.97,75.63,80,62,15.97,PF,1592439191
Port Blair,11.67,92.75,82.69,82,100,8.81,IN,1592439191
Hua Hin,12.57,99.96,77.0,88,20,3.36,TH,1592438990
Arraial do Cabo,-22.97,-42.03,71.6,68,8,9.17,BR,1592439191
Ushuaia,-54.8,-68.3,35.6,80,57,6.93,AR,1592439121
Wajima,37.4,136.9,69.8,83,90,3.36,JP,1592439192
Puerto Ayora,-0.74,-90.35,69.01,92,71,3.0,EC,1592439192
Mataura,-46.19,168.86,39.0,83,4,3.0,NZ,1592439192
Guerrero Negro,27.98,-114.06,70.84,59,0,18.84,MX,1592439193
Tarko-Sale,64.92,77.78,48.99,64,62,4.0,RU,1592439193
Richards Bay,-28.78,32.04,59.88,77,100,4.16,ZA,1592439193
Tiksi,71.69,128.87,54.5,60,100,6.78,RU,1592439193
Lata,40.16,-8.33,61.0,88,2,5.01,PT,1592439194
Faanui,-16.48,-151.75,81.7,77,100,6.98,PF,1592439194
Bengkulu,-3.8,102.27,76.35,85,50,4.7,ID,1592439194
Nikolskoye,59.7,30.79,64.0,88,0,6.71,RU,1592439194
Albany,42.6,-73.97,82.0,49,0,1.88,US,1592439195
Lobito,-12.35,13.55,72.16,69,0,4.97,AO,1592439195
Kahului,20.89,-156.47,89.6,43,20,24.16,US,1592439195
Mossamedes,-15.2,12.15,71.42,58,0,4.41,AO,1592439195
Fortuna,40.6,-124.16,68.0,68,20,18.34,US,1592439195
Port Hueneme,34.15,-119.2,73.99,60,1,10.29,US,1592438897
Manta,-0.95,-80.73,77.0,83,75,11.41,EC,1592439157
Clyde River,70.47,-68.59,33.8,85,90,3.36,CA,1592439196
Santa Cruz de la Sierra,-17.8,-63.17,75.2,73,40,12.75,BO,1592438928
Polunochnoye,60.87,60.42,39.78,73,5,4.21,RU,1592439196
Touros,-5.2,-35.46,73.4,94,20,3.36,BR,1592439196
Paita,-5.09,-81.11,66.15,80,0,14.83,PE,1592439197
Cape Town,-33.93,18.42,52.0,70,31,2.24,ZA,1592439182
Barrow,71.29,-156.79,42.8,70,1,12.75,US,1592439133
Bredasdorp,-34.53,20.04,41.0,86,0,5.23,ZA,1592439197
Qaanaaq,77.48,-69.36,32.16,94,19,2.33,GL,1592439197
Nhamundá,-2.19,-56.71,77.38,82,37,2.33,BR,1592439198
Esna,25.29,32.55,86.0,25,0,4.7,EG,1592439198
Mahabalipuram,12.63,80.17,88.0,66,40,6.93,IN,1592439198
Wajir,1.75,40.06,74.41,67,84,16.98,KE,1592439199
Cherskiy,68.75,161.3,79.72,24,59,6.38,RU,1592439199
Hithadhoo,-0.6,73.08,84.18,74,54,8.34,MV,1592439068
Heihe,50.24,127.49,55.4,93,20,4.47,CN,1592439199
Norman Wells,65.28,-126.83,86.0,30,40,14.99,CA,1592439199
Thompson,55.74,-97.86,41.0,93,90,13.87,CA,1592439200
Ponta do Sol,32.67,-17.1,66.2,77,20,8.05,PT,1592439200
Chhor,25.52,69.77,87.01,64,100,18.21,PK,1592439200
Kenai,60.55,-151.26,68.0,34,40,19.46,US,1592439200
Provideniya,64.38,-173.3,53.6,71,98,13.42,RU,1592439201
Carnarvon,-24.87,113.63,66.2,100,90,11.41,AU,1592439201
Chui,-33.7,-53.46,66.38,81,100,12.08,UY,1592439201
São Filipe,14.9,-24.5,76.15,79,2,13.2,CV,1592439201
Cabo San Lucas,22.89,-109.91,93.2,16,20,11.41,MX,1592439001
Rundu,-17.93,19.77,50.0,60,0,6.04,NA,1592439202
Mehamn,71.04,27.85,48.38,69,10,5.91,NO,1592439202
Kavieng,-2.57,150.8,85.17,67,17,8.55,PG,1592439202
East London,-33.02,27.91,59.27,67,1,11.01,ZA,1592439055
The Valley,18.22,-63.06,84.2,70,20,10.29,AI,1592438926
Dongying,37.46,118.49,69.04,74,100,1.5,CN,1592439203
São Gabriel da Cachoeira,-0.13,-67.09,75.04,96,59,1.59,BR,1592439203
Verkhoyansk,67.54,133.38,78.03,32,0,11.68,RU,1592439203
Hilo,19.73,-155.09,84.2,54,1,8.05,US,1592439203
Yumen,40.28,97.2,74.82,18,99,8.88,CN,1592439203
Severo-Kuril'sk,50.68,156.12,46.02,83,98,9.13,RU,1592439204
Shenjiamen,29.96,122.3,80.28,80,68,10.98,CN,1592439204
Verāval,20.9,70.37,84.42,83,86,10.74,IN,1592439204
Tsimmerbude,54.67,20.13,62.6,88,40,13.42,RU,1592439205
Fare,-16.7,-151.02,82.22,77,100,12.44,PF,1592439205
São João da Barra,-21.64,-41.05,69.94,75,4,9.31,BR,1592439205
Poum,-20.23,164.02,74.97,69,97,12.68,NC,1592439205
Ribeira Grande,38.52,-28.7,63.23,78,94,10.09,PT,1592439206
Kasama,-10.21,31.18,48.09,92,0,4.9,ZM,1592439206
Urengoy,65.97,78.37,45.16,58,21,5.91,RU,1592439206
Keti Bandar,24.14,67.45,84.38,84,0,10.36,PK,1592439206
Bethel,41.37,-73.41,72.0,81,76,4.59,US,1592439206
Vila,42.03,-8.16,51.01,90,21,3.0,PT,1592439207
Mutare,-18.97,32.67,51.87,89,80,2.59,ZW,1592439207
Bambanglipuro,-7.95,110.28,79.09,84,25,8.14,ID,1592439207
Loket,50.19,12.75,59.0,87,100,2.24,CZ,1592439207
Pangody,65.85,74.49,41.25,67,0,12.1,RU,1592439208
Kiruna,67.86,20.23,57.2,47,61,2.93,SE,1592439208
Peniche,39.36,-9.38,62.01,80,0,5.99,PT,1592439208
Necochea,-38.55,-58.74,63.0,99,100,3.0,AR,1592439208
Noyabrsk,63.2,75.45,42.98,67,33,11.3,RU,1592439117
La Jutosa,15.63,-88.0,82.4,78,75,6.93,HN,1592439209
San Ignacio,17.16,-89.07,75.99,100,90,4.07,BZ,1592439209
Tuktoyaktuk,69.45,-133.04,44.6,93,75,10.29,CA,1592439209
Ayan,56.45,138.17,42.67,96,98,4.83,RU,1592439209
Castro,-24.79,-50.01,56.08,95,2,4.83,BR,1592439210
Atuona,-9.8,-139.03,80.85,72,1,13.85,PF,1592439210
Kamenka,51.32,42.77,63.0,75,0,5.39,RU,1592439210
Būrewāla,30.17,72.65,94.24,11,0,4.79,PK,1592439210
Port Lincoln,-34.73,135.87,58.44,58,54,22.88,AU,1592439211
Narsaq,60.92,-46.05,41.0,65,99,11.41,GL,1592439211
Iqaluit,63.75,-68.51,39.2,64,75,11.41,CA,1592439211
